"deviceid","note","lat","lon","projx","projy","z","canopyheight","aspect","slope","relz1500ft","relz500ft","ndvi","aspfrom200"
2," ",37.3818,-121.736,6202463.622,1963855.573,1890,0.621786,200.901,2.29209,168,70,-0.0224215,43.435
3," ",37.3835,-121.738,6201893.906,1964500.345,1949,2.4812,214.475,17.06,188,88,0.0243902,33.427
4," ",37.3804,-121.733,6203337.15,1963330.615,1971,26.2781,216.606,1.77995,267,178,0.303922,83.435
5," ",37.382,-121.74,6201270.574,1963947.83,1850,5.5672,64.0491,0.354829,116,75,0.042471,160
6," ",37.3811,-121.738,6202030.465,1963620.97,1880,0.932222,0,5.69091,171,39,-0.0666667,110
7," ",37.3807,-121.738,6201836.789,1963477.878,1919,0.450363,308.652,3.86772,212,151,-0.101124,83.435
8," ",37.3804,-121.739,6201736.226,1963344.478,1885,2.73823,270.329,20.3423,181,142,-0.0866142,20
9," ",37.3799,-121.739,6201603.413,1963189.658,1821,17.8119,252.368,16.2591,117,81,-0.115646,1.56505
10,"",37.3796,-121.74,6201386.827,1963072.362,1780,11.5774,0,0,76,40,0.392157,79.0362
11,"",37.381,-121.736,6202555.696,1963566.69,1874,0.484985,180,5.71059,170,99,-0.0530973,70
12," ",37.3804,-121.736,6202645.637,1963336.096,1853,34.4025,115.572,12.739,154,89,0.463158,135.225
13," ",37.3799,-121.735,6202716.203,1963178.586,1819,2.16945,134.067,16.6937,123,60,-0.105058,117.045
14," ",37.3798,-121.735,6202695.193,1963127.884,1809,2.77957,153.157,18.8919,116,50,-0.0505837,95.9744
15," ",37.3827,-121.737,6202328.452,1964181.441,1932,2.81858,180.677,18.4716,189,76,-0.135371,70
16," ",37.3833,-121.737,6202299.526,1964411.229,2023,4.01521,159.264,16.2357,253,144,-0.0922509,82.5288
17,"",37.3841,-121.737,6202280.086,1964699.154,2076,0,116.565,18.542,281,158,0.563981,133.435
18," ",37.3784,-121.743,6200564.865,1962664.509,1990,0.427361,199.614,2.53211,302,132,-0.123288,39.0362
19," ",37.3795,-121.731,6203948.67,1962987.558,1882,1.16694,312.463,7.70427,178,76,-0.0347826,60.2364
20," ",37.3797,-121.74,6201456.844,1963093.283,1780,1.53161,129.033,5.68853,76,41,0.0097087,106.87
21," ",37.3892,-121.732,6203693.303,1966544.886,2370,0.575599,165.138,4.5287,423,172,-0.148289,145.964
22," ",37.3944,-121.718,6207909.533,1968361.351,2699,0.613431,296.389,5.32396,537,149,-0.0790378,104.806
23," ",37.3893,-121.716,6208260.396,1966521.546,2681,0.483415,43.9917,1.42992,454,203,-0.174757,155
24," ",37.3914,-121.714,6208915.08,1967266.803,2569,0.708567,94.9061,7.06299,538,188,-0.133333,160
25," ",37.3925,-121.713,6209242.715,1967663.102,2454,2.34807,354.997,17.2342,752,138,0.130081,103.991
26," ",37.392,-121.731,6203991.45,1967564.184,2508,2.51422,304.199,20.2479,445,180,-0.146789,50.1735
27," ",37.3983,-121.733,6203553.601,1969834.876,2657,4.22086,241.248,14.7872,274,172,-0.19457,15.1342
28," ",37.3968,-121.734,6203133.99,1969297.844,2504,1.06732,165.866,9.82163,168,36,-0.0441176,74.7636
29," ",37.3956,-121.738,6202085.432,1968874.73,2612,1.36057,139.628,9.02092,511,232,-0.070922,103.69
30," ",37.3942,-121.744,6200301.306,1968414.087,2510,0.353931,232.654,3.55873,521,200,-0.192661,94.444
31," ",37.3867,-121.747,6199521.021,1965671.596,1881,0.32722,179.287,1.7607,85,62,-0.0367347,70
32,"co-located with 51",37.3881,-121.75,6198566.641,1966223.248,1886,1.83937,178.987,2.42661,67,14,0.272727,81.3099
33,"",37.3904,-121.749,6198824.5,1967039.114,2133,1.18555,149.036,8.29381,287,207,-0.187215,90.2249
34," ",37.3863,-121.738,6201991.547,1965511.352,2260,1.07705,220.722,6.02964,433,201,-0.120301,25
35," ",37.3869,-121.75,6198595.472,1965771.333,1932,24.4439,132.27,3.72278,117,78,-0.0901639,105.538
36," ",37.3883,-121.75,6198590.513,1966270.267,1889,1.9442,193.68,3.6451,69,17,-0.0697674,70
39," ",37.3899,-121.733,6203548.41,1966794.407,2364,1.01683,216.661,3.87065,365,99,-0.0169492,1.56505
41," ",37.3874,-121.751,6198115.619,1965956.173,1990,1.11334,72.3978,9.15784,159,106,0.0405405,176.699
42," ",37.3879,-121.751,6198359.266,1966142.267,1902,2.05335,61.8949,10.8332,77,25,-0.119342,173.435
43," ",37.3879,-121.751,6198303.925,1966132.083,1918,26.9609,79.3517,18.3662,90,39,0.116279,170.784
44," ",37.3887,-121.749,6198758.382,1966439.17,1912,2.03049,180.029,7.12172,93,40,-0.11588,70
45," ",37.3894,-121.749,6198831.455,1966689.449,1982,5.85317,220.117,25.9576,153,94,0.0162162,26.2454
46," ",37.3923,-121.732,6203757.546,1967672.862,2409,8.97377,337.566,28.8984,244,102,0.0547945,91.0535
47," ",37.3927,-121.732,6203669.174,1967801.473,2338,4.42645,306.019,10.8679,178,33,0.0119522,68.5763
48," ",37.3927,-121.733,6203585.221,1967824.427,2345,14.0606,178.543,32.2808,195,42,0.0583658,73.9909
49," ",37.3928,-121.733,6203518.89,1967861.715,2370,4.33996,173.634,29.0378,225,69,-0.093633,70.7848
50," ",37.393,-121.733,6203484.895,1967927.707,2407,3.10533,163.22,24.5942,262,103,-0.119691,85.9454
51,"co-located with 32",37.3881,-121.75,6198566.641,1966223.248,1886,1.83937,178.987,2.42661,67,14,0.272727,81.3099
52," ",37.3799,-121.74,6201446.236,1963169.892,1778,0,0,0,74,36,-0.445087,13.6598
53,"coords at edge of pond",37.3899,-121.733,6203533.646,1966776.394,2363,0,0,0,369,101,0.114504,25
54," ",37.3797,-121.732,6203810.411,1963080.411,1864,0.449951,203.342,3.04485,160,65,-0.246377,25
55," ",37.3834,-121.738,6201924.996,1964434.389,1939,0.326249,245.757,6.55518,186,80,0.203252,9.74489
56," ",37.3904,-121.749,6198795.548,1967046.783,2135,0.842103,168.574,4.52225,288,209,-0.15942,76.3402
57," ",37.3842,-121.738,6202135.213,1964730.2,2104,17.9538,215.557,10.8161,325,196,0.236514,31.3402
